cell_id,cycle,QDischarge,QCharge,IR,Tmax,Tavg,chargetime
cell_0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_0,2.0,1.0706892,1.0710422,0.016742354,35.652016,31.875010776448963,13.341250000000006
cell_0,3.0,1.0719005,1.0716741,0.016724309,35.692978,31.931490327663376,13.42577666666666
cell_0,4.0,1.0725095,1.0723044,0.016681245,35.680588,31.9326034757631,13.425166666666671
cell_0,5.0,1.073174,1.07297,0.016661867,35.728691,31.95932155887516,13.34144166666665
cell_0,6.0,1.0735761,1.0734913,0.016623382,35.711758,31.96106185480935,13.34083499999997
cell_0,7.0,1.0739917,1.073922,0.016599579,35.61565,31.900562096745,13.34019833333332
cell_0,8.0,1.0743741,1.0741584,0.016576905,35.546783,31.92166784685496,13.425441666666666
cell_0,9.0,1.0744922,1.0743366,0.016588196,35.539406,31.870082320070754,13.42519000000005
cell_0,10.0,1.0745373,1.0743531,0.016572181,35.499729,31.841052676106166,13.42563333333334
cell_0,11.0,1.0747814,1.0746447,0.016564831,35.486984,31.811381731685728,13.340996666666737
cell_0,12.0,1.5390544,1.5467919,0.018950272,35.237232,30.28257943076922,13.341273333333326
cell_0,13.0,1.0738269,1.0710218,0.016629694,35.399788,31.5412074655022,13.341906666666667
cell_0,14.0,1.0750562,1.0734307,0.016623681,35.361366,31.554487467264536,13.425951666666515
cell_0,15.0,1.0730921,1.0745616,0.016606225,35.380379,31.60416723916967,13.425368333333365
cell_0,16.0,1.0758405,1.0752127,0.016644137,35.396084,31.626640685333328,13.341238333333362
cell_0,17.0,1.072405,1.0735142,0.016638549,35.421181,31.56672500361993,13.461158333333394
cell_0,18.0,1.0761998,1.075841,0.016635945,35.421665,31.610988598720265,13.428950000000137
cell_0,19.0,1.0761871,1.075995,0.016622188,35.282478,31.563843511353305,13.42597666666649
cell_0,20.0,1.0764284,1.0751143,0.016603719,35.215897,31.581725207111127,13.35776333333318
cell_0,21.0,1.0765469,1.07526,0.016579002,35.270439,31.56066323885912,13.442670000000119
cell_0,22.0,1.0766536,1.076412,0.016562166,35.203217,31.608153900709215,13.34155166666654
cell_0,23.0,1.0766355,1.0764353,0.016565233,35.17334,31.644954582887834,13.425559999999921
cell_0,24.0,1.0754509,1.0765072,0.016568111,35.262707,31.606933999116603,13.4254866666665
cell_0,25.0,1.0766494,1.0764282,0.016572051,35.29155,31.616244551351414,13.341149999999955
cell_0,26.0,1.076545,1.0763686,0.016596386,35.25309,31.51765399645071,13.341895000000173
